"activity_label"	"Label of the Activity"
"activity_id"	"Id of the Activity"
"subject_id"	"Id of the subject who performed the activity"
"system"	"Training or test group"
"tBodyAcc-mean()-X"	"Mean of Body accelerometer in the time domain signals on phone X Axis"
"tBodyAcc-mean()-Y"	"Mean of Body accelerometer in the time domain signals on phone Y Axis"
"tBodyAcc-mean()-Z"	"Mean of Body accelerometer in the time domain signals on phone Z Axis"
"tBodyAcc-std()-X"	"Standard Deviation of Body accelerometer in the time domain signals on phone X Axis"
"tBodyAcc-std()-Y"	"Standard Deviation of Body accelerometer in the time domain signals on phone Y Axis"
"tBodyAcc-std()-Z"	"Standard Deviation of Body accelerometer in the time domain signals on phone Z Axis"
"tGravityAcc-mean()-X"	"Mean of Gravity accelerometer in the time domain signals on phone X Axis"
"tGravityAcc-mean()-Y"	"Mean of Gravity accelerometer in the time domain signals on phone Y Axis"
"tGravityAcc-mean()-Z"	"Mean of Gravity accelerometer in the time domain signals on phone Z Axis"
"tGravityAcc-std()-X"	"Standard Deviation of Gravity accelerometer in the time domain signals on phone X Axis"
"tGravityAcc-std()-Y"	"Standard Deviation of Gravity accelerometer in the time domain signals on phone Y Axis"
"tGravityAcc-std()-Z"	"Standard Deviation of Gravity accelerometer in the time domain signals on phone Z Axis"
"tBodyAccJerk-mean()-X"	"Mean of Body accelerometer Jerk in the time domain signals on phone X Axis"
"tBodyAccJerk-mean()-Y"	"Mean of Body accelerometer Jerk in the time domain signals on phone Y Axis"
"tBodyAccJerk-mean()-Z"	"Mean of Body accelerometer Jerk in the time domain signals on phone Z Axis"
"tBodyAccJerk-std()-X"	"Standard Deviation of Body accelerometer Jerk in the time domain signals on phone X Axis"
"tBodyAccJerk-std()-Y"	"Standard Deviation of Body accelerometer Jerk in the time domain signals on phone Y Axis"
"tBodyAccJerk-std()-Z"	"Standard Deviation of Body accelerometer Jerk in the time domain signals on phone Z Axis"
"tBodyGyro-mean()-X"	"Mean of Body gyroscope in the time domain signals on phone X Axis"
"tBodyGyro-mean()-Y"	"Mean of Body gyroscope in the time domain signals on phone Y Axis"
"tBodyGyro-mean()-Z"	"Mean of Body gyroscope in the time domain signals on phone Z Axis"
"tBodyGyro-std()-X"	"Standard Deviation of Body gyroscope in the time domain signals on phone X Axis"
"tBodyGyro-std()-Y"	"Standard Deviation of Body gyroscope in the time domain signals on phone Y Axis"
"tBodyGyro-std()-Z"	"Standard Deviation of Body gyroscope in the time domain signals on phone Z Axis"
"tBodyGyroJerk-mean()-X"	"Mean of Body gyroscope Jerk in the time domain signals on phone X Axis"
"tBodyGyroJerk-mean()-Y"	"Mean of Body gyroscope Jerk in the time domain signals on phone Y Axis"
"tBodyGyroJerk-mean()-Z"	"Mean of Body gyroscope Jerk in the time domain signals on phone Z Axis"
"tBodyGyroJerk-std()-X"	"Standard Deviation of Body gyroscope Jerk in the time domain signals on phone X Axis"
"tBodyGyroJerk-std()-Y"	"Standard Deviation of Body gyroscope Jerk in the time domain signals on phone Y Axis"
"tBodyGyroJerk-std()-Z"	"Standard Deviation of Body gyroscope Jerk in the time domain signals on phone Z Axis"
"tBodyAccMag-mean()"	"Mean of magnitude of Body accelerometer  in the time domain signals"
"tBodyAccMag-std()"	"Standard Deviation of magnitude of Body accelerometer  in the time domain signals"
"tGravityAccMag-mean()"	"Mean of magnitude of Gravity accelerometer  in the time domain signals"
"tGravityAccMag-std()"	"Standard Deviation of magnitude of Gravity accelerometer  in the time domain signals"
"tBodyAccJerkMag-mean()"	"Mean of magnitude of Gravity accelerometer Jerk in the time domain signals"
"tBodyAccJerkMag-std()"	"Standard Deviation of magnitude of Gravity accelerometer Jerk in the time domain signals"
"tBodyGyroMag-mean()"	"Mean of magnitude of Body gyroscope  in the time domain signals"
"tBodyGyroMag-std()"	"Standard Deviation of magnitude of Body gyroscope  in the time domain signals"
"tBodyGyroJerkMag-mean()"	"Mean of magnitude of Body gyroscope Jerk  in the time domain signals"
"tBodyGyroJerkMag-std()"	"Standard Deviation of magnitude of Body gyroscope Jerk  in the time domain signals"
"fBodyAcc-mean()-X"	"Mean of Body accelerometer in the frequency domain signals on phone X Axis"
"fBodyAcc-mean()-Y"	"Mean of Body accelerometer in the frequency domain signals on phone Y Axis"
"fBodyAcc-mean()-Z"	"Mean of Body accelerometer in the frequency domain signals on phone Z Axis"
"fBodyAcc-std()-X"	"Standard Deviation of Body accelerometer in the frequency domain signals on phone X Axis"
"fBodyAcc-std()-Y"	"Standard Deviation of Body accelerometer in the frequency domain signals on phone Y Axis"
"fBodyAcc-std()-Z"	"Standard Deviation of Body accelerometer in the frequency domain signals on phone Z Axis"
"fBodyAcc-meanFreq()-X"	"Mean Frequency of Body accelerometer in the frequency domain signals on phone X Axis"
"fBodyAcc-meanFreq()-Y"	"Mean Frequency of Body accelerometer in the frequency domain signals on phone Y Axis"
"fBodyAcc-meanFreq()-Z"	"Mean Frequency of Body accelerometer in the frequency domain signals on phone Z Axis"
"fBodyAccJerk-mean()-X"	"Mean of Body accelerometer Jerk in the frequency domain signals on phone X Axis"
"fBodyAccJerk-mean()-Y"	"Mean of Body accelerometer Jerk in the frequency domain signals on phone Y Axis"
"fBodyAccJerk-mean()-Z"	"Mean of Body accelerometer Jerk in the frequency domain signals on phone Y Axis"
"fBodyAccJerk-std()-X"	"Standard Deviation of Body accelerometer Jerk in the frequency domain signals on phone X Axis"
"fBodyAccJerk-std()-Y"	"Standard Deviation of Body accelerometer Jerk in the frequency domain signals on phone Y Axis"
"fBodyAccJerk-std()-Z"	"Standard Deviation of Body accelerometer Jerk in the frequency domain signals on phone Z Axis"
"fBodyAccJerk-meanFreq()-X"	"Mean Frequency of Body accelerometer Jerk in the frequency domain signals on phone X Axis"
"fBodyAccJerk-meanFreq()-Y"	"Mean Frequency of Body accelerometer Jerk in the frequency domain signals on phone Y Axis"
"fBodyAccJerk-meanFreq()-Z"	"Mean Frequency of Body accelerometer Jerk in the frequency domain signals on phone Z Axis"
"fBodyGyro-mean()-X"	"Mean of Body gyroscope in the frequency domain signals on phone X Axis"
"fBodyGyro-mean()-Y"	"Mean of Body gyroscope in the frequency domain signals on phone Y Axis"
"fBodyGyro-mean()-Z"	"Mean of Body gyroscope in the frequency domain signals on phone Z Axis"
"fBodyGyro-std()-X"	"Standard Deviation of Body gyroscope in the frequency domain signals on phone X Axis"
"fBodyGyro-std()-Y"	"Standard Deviation of Body gyroscope in the frequency domain signals on phone Y Axis"
"fBodyGyro-std()-Z"	"Standard Deviation of Body gyroscope in the frequency domain signals on phone Z Axis"
"fBodyGyro-meanFreq()-X"	"Mean Frequency of Body gyroscope in the frequency domain signals on phone X Axis"
"fBodyGyro-meanFreq()-Y"	"Mean Frequency of Body gyroscope in the frequency domain signals on phone Y Axis"
"fBodyGyro-meanFreq()-Z"	"Mean Frequency of Body gyroscope in the frequency domain signals on phone Z Axis"
"fBodyAccMag-mean()"	"Mean of magnitude of Body accelerometer in the frequency domain signals"
"fBodyAccMag-std()"	"Standard Deviation of magnitude of Body accelerometer in the frequency domain signals"
"fBodyAccMag-meanFreq()"	"Mean Frequency of magnitude of Body accelerometer  in the frequency domain signals"
"fBodyBodyAccJerkMag-mean()"	"Mean of magnitude of Body accelerometer Jerk in the frequency domain signals"
"fBodyBodyAccJerkMag-std()"	"Standard Deviation of magnitude of Body accelerometer Jerk in the frequency domain signals"
